1000035198	VIVO	SP	Tupi Paulista	CENTRO	AVENIDA 9 DE JULHO, 983, EDIFICIO RESIDENCIAL GRACIANOPOLIS	-21.384.731	-51.569.639	3555109	Nao Informada	2G - 3G - 4G	700 - 850 - 1800 - 2100
1000035392	CLARO	PR	Londrina	SAN FERNANDO	R LAZARO ZAMENHOF, 566, 0	-2.333.885	-5.113.635	4113700	Rooftop 	2G - 3G - 4G - 5G	700 - 1800 - 2100 - 2500 - 3500
1000035538	VIVO	TO	Gurupi	SETOR CASEGO	AVENIDA RIO GRANDE DO NORTE - LOTE 06, S N,	-11.730.389	-49.055.417	1709500	Greenfield 	3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000035570	CLARO	PI	Capitao de Campos	ZONA RURAL	ROD BR 343, S N, SITIO AMEIXA KM 219	-447.267	-4.194.749	2202406	Greenfield 	2G - 3G - 4G	700 - 850 - 900 - 1800 - 2100
1000037719	CLARO	PE	Jaboatao dos Guararapes	GUARARAPES	AV DOS GUARARAPES, S N,	-815.892	-349.287	2607901	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000038669	TIM	ES	Iuna	CENTRO	RUA PEDRO SCARDIM, 6,	-20.346.939	-41.528.139	3203007	Greenfield 	2G - 3G - 4G	700 - 900 - 1800 - 2100
1000038715	CLARO	SP	Americana	MORADA DO SOL	AV SAO JERONIMO, 4600, VICUNHA TEXTIL	-2.270.076	-4.735.572	3501608	Greenfield 	2G - 3G - 4G	700 - 850 - 1800 - 2100 - 2500
1000038952	CLARO	MG	Divino	ZONA RURAL	FAZ SAO DOMINGOS, S N, PROX. A TORRE DE TV - IMOVEL BOA VISTA	-2.061.133	-4.214.989	3122009	Greenfield 	2G - 3G - 4G	900 - 1800 - 2100
1000039223	CLARO	AM	Manaus	PARQUE DAS NACOES	R SAO JUDAS TADEU, S N, CONJUNTO BEIJA-FLOR 2	-304.814	-600.076	1302603	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2300 - 2500 - 3500
1000039657	CLARO	MA	Sao Luis	OUTEIRO DA CRUZ	R NOSSA SENHORA DA VITORIA, 23, TRAVESSA NOSSA SENHORA DA VITORIA 23	-255.416	-442.575	2111300	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000039770	VIVO	BA	Luis Eduardo Magalhaes	FAZENDA CAMACUA	FAZENDA CAMACUA BELA VISTA S N, S N,	-12.100.656	-46.141.132	2919553	Nao Informada	2G - 3G - 4G	700 - 850 - 1800 - 2100
1000039916	CLARO	PA	Salinopolis	CENTRO	R RUI BARBOSA, 330,	-0.61558	-4.735.944	1506203	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2300 - 2500 - 3500
1000040159	VIVO	CE	Fortaleza	MONTESE	RUA EDUARDO ANGELIM, 340, CE126	-3.763.128	-38.548.694	2304400	Nao Informada	2G - 3G - 4G - 5G	700 - 1800 - 2100 - 2500 - 3500
1000040167	CLARO	ES	Vitoria	BARRO VERMELHO	R JOSE LUIS GABEIRA, 171, ED PORTO MONTE	-2.029.466	-4.029.911	3205309	Rooftop 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000040175	VIVO	CE	Eusebio	JABOTI	RUA JOSE SOARES, S N,	-3.927.389	-38.508.806	2304285	Greenfield 	2G - 3G - 4G	700 - 1800 - 2100 - 2500
1000040213	VIVO	CE	Maracanau	PAJUCARA	RUA GERALDO AVELINO FERREIRA, 530,	-3.859	-38.579.889	2307650	Nao Informada	2G - 3G - 4G - 5G	700 - 1800 - 2100 - 2500 - 3500
1000040256	VIVO	PE	Sao Lourenco da Mata	PENEDO	Rua Claudio Manoel da Costa, S N, PE055 - PENEDO	-8.007.139	-35.026.833	2613701	Nao Informada	2G - 3G - 4G - 5G	700 - 1800 - 2100 - 2500 - 3500
1000040264	VIVO	PE	Sao Lourenco da Mata	CENTRO	RUA JOAO SEVERIANO, S N,	-7.996.417	-35.039.278	2613701	Nao Informada	2G - 3G - 4G - 5G	700 - 1800 - 2100 - 2500 - 3500
1000041821	CLARO	AM	Benjamin Constant	COLONIA II	AVENIDA 1 DE MAIO, S N, PROX AO ESTADIO MUNICIPAL	-438.818	-700.298	1300607	Greenfield 	2G - 3G - 4G	700 - 850 - 1800 - 2100 - 2300 - 2500
1000041856	VIVO	PE	Jaboatao dos Guararapes	PIEDADE	AVENIDA BEIRA MAR, 1110,	-81.625	-34.915	2607901	Greenfield 	2G - 3G - 4G - 5G	700 - 1800 - 2100 - 2500 - 3500
1000041864	VIVO	PE	Recife	CASA AMARELA	ESTRADA DO ARRAIAL, 3720,	-802.611	-349.125	2611606	Nao Informada	2G - 3G - 4G - 5G	700 - 1800 - 2100 - 2500 - 3500
1000042950	CLARO	MG	Bandeira do Sul	SANTA QUITERIA	R JOSE BANDEIRA DE CARVALHO, S N, EM FRENTE AO N 699	-2.173.064	-4.638.858	3105301	Greenfield 	2G - 3G - 4G	700 - 1800 - 2100
1000043042	TIM	GO	Campinacu	CENTRO	Rua Seis, S N, -	-13.787.233	-48.568.631	5204656	Greenfield 	2G - 4G	700 - 900 - 1800
1000043182	CLARO	MG	Piranguinho	Fazendinha	ROD BR 459, KM 155,7, ESTRADA PINHALZINHO N 20 - SITIO CRUZEIRO	-223.994	-455.379	3151008	Greenfield 	2G - 3G - 4G	700 - 1800 - 2100
1000043212	VIVO	PE	Igarassu	CENTRO	RUA DO ARAME, S N,	-7.850.333	-34.844.389	2606804	Nao Informada	2G - 3G - 4G - 5G	700 - 1800 - 2100 - 2500 - 3500
1000043409	CLARO	MA	Timbiras	CENTRO	AV IDELFONSO MOREIRA DOS SANTOS, S N,	-425.333	-4.394.056	2112100	Nao Informada	2G - 3G - 4G	850 - 1800 - 2100
1000043522	CLARO	MA	Itapecuru Mirim	Torre	R JOSE DOMICIANO SIQUEIRA, S N,	-339.833	-4.434.472	2105401	Greenfield 	2G - 3G - 4G	700 - 850 - 1800 - 2100 - 2500
1000043530	CLARO	BA	Tapiramuta	ALMEIDA SOBRINHO	AV CAFEEIRA, S N,	-1.184.817	-4.079.657	2931301	Greenfield 	2G - 3G - 4G	700 - 900 - 1800 - 2100
1000043905	CLARO	RJ	Rio de Janeiro	CACHAMBI	R CAPITAO JESUS, 123, Ed. Luther King	-2.289.344	-4.327.658	3304557	Rooftop 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000044251	CLARO	SP	Itu	Chacara Sao Joao	ROD DEPUTADO DE ARCHIMEDES LAMMOGLIA, 493, SITIO IRACEMA	-2.340.374	-4.733.489	3523909	Greenfield 	2G - 3G - 4G	700 - 850 - 1800 - 2100 - 2500
1000044278	CLARO	RJ	Rio de Janeiro	Gloria	AV INFANTE DOM HENRIQUE, S N, 1 POSTE NO CANTEIRO CENTRAL - EM FRENTE AO NUMERO 880 DA AV RUI BARBOSA	-2.294.389	-4.317.481	3304557	Streetlevel 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000045029	CLARO	PA	Breu Branco	Novo Horizonte	R BAIA, 146,	-378.389	-4.957.028	1501782	Greenfield 	2G - 3G - 4G	700 - 850 - 1800 - 2100 - 2300
1000045037	CLARO	PR	Itambaraca	RODOVIA	ROD PR 517, KM 15,5,	-230.139	-503.983	4111001	Greenfield 	2G - 3G - 4G	700 - 1800 - 2100
1000046084	VIVO	SP	Franca	RECANTO DO ITAMBE	AVENIDA PRESIDENTE VARGAS, 2350,	-20.518.142	-47.381.817	3516200	Nao Informada	2G - 3G - 4G - 5G	700 - 1800 - 2100 - 2500 - 3500
1000046092	VIVO	SP	Franca	VILA INDUSTRIAL	RUA DOUTOR CARLOS SIGNORELLI, 240,	-20.546.892	-4.739.825	3516200	Nao Informada	2G - 3G - 4G - 5G	700 - 1800 - 2100 - 2500 - 3500
1000046130	VIVO	SC	Bom Retiro	ZONA RURAL Â 	RODOVIA BR 282, S N, RBR-NAO	-27.747.139	-49.715.778	4202602	Nao Informada	2G - 3G - 4G	700 - 850 - 1800
1000047390	CLARO	PA	Salvaterra	PAES DE CARVALHO	R SEXTA, 962,	-0.75667	-4.852.111	1506302	Greenfield 	2G - 3G - 4G	700 - 850 - 1800 - 2100 - 2500
1000047501	CLARO	RS	Jaguarao	COXILHAS	RODOVIA BR 116, S N, KM 636 EST BRETANHA 180	-3.241.167	-5.322.583	4311007	Nao Informada	2G - 4G	850
1000047790	VIVO	AL	Maceio	BARRO DURO	RUA EMPRESARIO JORGE MONTENEGRO BARROS - N S N, S N, AL107	-9.601.583	-35.770.667	2704302	Nao Informada	2G - 3G - 4G - 5G	700 - 1800 - 2100 - 2500 - 3500
1000047986	TIM	PE	Caruaru	Mauricio De Nassau	Rua Rodrigues De Abreu, 243, -	-8.274.361	-35.973.361	2604106	Nao Informada	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000048648	VIVO	PA	Redencao	Novo Horizonte	AVENIDA GIOVANI QUEIROZ, 47,	-804.556	-5.002.889	1506138	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
