Número Estação;Operadora;SiglaUf;MUN;Bairro;Logradouro;Latitude;Longitude;IBGE;ClassInfraFisica;Tecs;Faixa
686880234;VIVO;DF;Brasília;RECANTO DAS EMAS;QUADRA 601 CONJUNTO 18 CASA 14, S/N, ;-15.91725;-48.051294;5300108;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
686880331;VIVO;DF;Brasília;ASA SUL;X SCRS 516, S/N, RBR-NÃO;-15.828583;-47.928222;5300108;Rooftop ;2G 3G 4G 5G ;700 850 1800 2100 2300 2500 3500 
686880412;TIM;RS;Antônio Prado;LINHA CANDIDA;LOTEAMENTO ÁREA RURAL, 55A, ;-28.893811;-51.199617;4300802;Greenfield ;2G 3G 4G ;700 900 1800 2100 
686880447;TIM;RS;Arroio do Padre;CENTRO;Estrada Do Arroio Do Padre, 5835, -;-31.442966;-52.422173;4301073;Greenfield ;2G 3G 4G ;700 900 1800 2100 
686880544;TIM;RS;Bom Retiro do Sul;CENTRO;RUA SENADOR PINHEIRO MACHADO, 1322, ;-29.60111;-51.93611;4302402;Greenfield ;2G 4G ;700 900 1800 
686880617;TIM;RS;Cruz Alta;CHACARAS DO SUL;Rodovia BR 158, S/N, Km 208,8;-28.76611;-53.59667;4306106;Greenfield ;2G 4G ;900 1800 
686880625;TIM;RS;Cruz Alta;CHACARAS DO SUL;RODOVIA BR158, S/N, ;-28.90333;-53.63639;4306106;Greenfield ;2G 4G ;900 1800 
686880633;TIM;RS;Cruz Alta;FAZENDA ESTRELA;RODOVIA RS 342, S/N, ;-28.56194;-53.72361;4306106;Greenfield ;2G 4G ;900 1800 
686880765;TIM;AM;Manaus;DOM PEDRO;AVENIDA PEDRO TEIXEIRA, 1000, ;-3.09225;-60.045056;1302603;Greenfield Rooftop ;2G 3G 4G 5G ;700 1800 2100 3500 
686883101;TIM;RS;Cruzeiro do Sul;TRAVESSA SAO RAFAEL;RODOVIA RS 453 ,KM 28, S/N, ;-29.505186;-52.053483;4306205;Greenfield ;2G ;900 
